Name,Category,Quantity,Price,Total
Wireless Mouse,Electronics,150,29.99,4498.50
Bluetooth Keyboard,Electronics,85,49.99,4249.15
USB-C Hub,Electronics,200,34.99,6998.00
Cotton T-Shirt,Clothing,500,15.99,7995.00
Denim Jeans,Clothing,300,39.99,11997.00
Running Shoes,Clothing,120,79.99,9598.80
Organic Coffee Beans,Food,400,12.99,5196.00
Green Tea Pack,Food,250,8.99,2247.50
Protein Bars (12pk),Food,180,24.99,4498.20
Standing Desk,Furniture,45,299.99,13499.55
Ergonomic Chair,Furniture,60,199.99,11999.40
Desk Lamp,Furniture,200,29.99,5998.00
Notebook Set,Office,350,7.99,2796.50
Ballpoint Pens (10pk),Office,600,4.99,2994.00
Sticky Notes,Office,800,3.49,2792.00
Yoga Mat,Sports,150,25.99,3898.50
Resistance Bands,Sports,220,14.99,3297.80
Water Bottle,Sports,400,19.99,7996.00
Phone Case,Accessories,700,12.99,9093.00
=COUNTA(A2:A21),Accessories,180,22.99,4138.20
